# Gene Family	RAG_100	RAG_101	RAG_102	RAG_103	RAG_104	RAG_105	RAG_106	RAG_107	RAG_108
UNMAPPED	655851	580497	388692	332686	233660	354364	461455	224982	709297
UNGROUPED	329806.762	401763.213	582256.519	638764.268	715122.814	613307.55	519727.008	734740.925	285233.031
K00001	0.251	0.877	0	1.148	0.722	0	7.957	0	0
K00002	0	1.503	5.618	0	0.445	1.43	0.611	0.833	0
K00003	0.716	9.541	9.006	0.602	2.26	14.86	5.293	1.468	1.34
K00004	0	0	0	0	0	0	0	0	0
K00005	3.169	1.771	8.342	0.785	0.908	13.383	7.348	0.995	0
K00007	0	0	0	0	0	0	0	0	0
K00008	0	0.732	3.198	0.323	1.463	0.168	1.131	0.365	0
K00009	3.787	4.056	1.314	0	5.873	6.769	3.713	0.536	0
K00010	0	0.967	8.428	0	0.339	0.65	0.667	1.124	0
K00012	2.463	9.558	7.061	8.149	36.386	32.339	12.371	18.393	0.936
K00013	3.207	4.236	8.88	8.159	51.204	26.802	10.569	32.822	1.646
K00014	8.265	11.071	31.227	54.584	42.335	46.143	16.72	51.669	1.768
K00015	0	0.223	0	0	0	0	0	0	0
K00016	5.53	15.049	14.272	1.295	2.226	6.99	15.004	2.399	5.106
K00018	1.856	0.805	4.462	0.747	1.761	2.613	1.482	0.295	1.487
K00020	0	0	0.882	0	0	0	0	0	0
K00021	0	0	0	0	0	0	0	0	0
K00024	5.378	0.779	16.401	6.611	131.841	94.153	7.399	64.983	3.752
K00027	7.673	3.247	6.029	2.385	0.392	15.32	16.569	2.278	9.451
K00029	2.021	6.675	0.508	1.569	3.537	0.35	2.713	0.426	1.481
K00030	0.746	1.35	5.785	0	0.489	1.77	3.031	1.401	0.833
K00031	2.566	3.356	4.862	4.472	31.046	13.989	5.709	27.682	1.85
K00033	0.231	0.89	0.637	0.656	3.154	3.39	7.563	0.829	0
K00036	0.936	0.421	2.214	4.848	38.198	5.589	1.175	15.361	0
K00040	6.823	4.971	8.459	1.442	0.587	4.916	2.819	10.077	1.99
K00041	5.202	7.589	24.504	11.011	37.943	19.307	8.118	50.543	5.409
K00042	4.563	0	0	0.392	0.126	0	0.695	0.531	0
K00045	0	2.067	10.812	2.329	2.246	0.983	2.845	17.997	0
K00046	0	0.342	0.617	0	0.594	0	0	0.263	0
K00048	4.812	6.634	3.379	0.248	0	10.686	0.689	0.738	4.68
K00052	8.12	14.747	43.926	61.328	60.184	63.295	31.12	74.874	5.583
K00053	15.965	19.861	21.292	34.42	13.888	26.827	25.518	18.719	13.132
K00054	0	0	0	0	0	0	0	0	0
K00055	0	0	0	0	0	0	0	0	0
K00057	22.17	21.171	20.708	6.885	110.583	33.368	22.927	38.586	12.246
K00058	4.887	15.075	20.295	47.857	8.479	19.517	33.285	22.995	12.697
K00059	12.436	18.736	22.859	13.24	70.477	25.834	14.713	68.273	6.957
K00060	0	0	0	0	3.766	1.725	0	0.442	1.499
K00065	0.36	0.348	0.179	1.099	0.629	0.249	0	2.749	0
K00067	1.555	1.227	13.474	5.225	39.835	7.456	2.046	23.805	0
K00068	0	3.376	3.327	0	1.602	2.184	1.011	0.957	0
K00073	2.99	0	0	0	0	0.142	0	0.334	0.69
K00074	8.641	6.206	18.246	1.846	2.599	11.186	10.227	7.282	6.814
K00075	1.474	20.199	33.332	6.012	11.349	15.883	11.466	24.662	2.372
K00076	1.948	0	0	0	0.156	0.288	0.168	0.8	0
K00077	7.279	10.065	10.274	2.196	4.634	10.385	6.556	2.24	4.463
K00086	0	0	0	0	0	0	0	0	0
K00087	6.727	2.216	8.868	1.239	2.119	2.868	5.004	1.337	3.333
K00088	10.611	21.972	22.87	2.016	4.119	22.438	11.625	3.078	7.697
K00090	1.956	0.265	0	0	0	0	0	0.337	0
K00094	0	0	0.194	0	0.154	0.195	0	0.1	0
K00096	0.696	4.255	13.62	0	69.216	9.86	2.303	10.75	0.476
K00097	0.395	0	14.391	48.629	33.656	7.115	4.731	49.639	0
K00098	0	0	0	0	0	0.261	0	0.524	0
K00099	6.47	14.829	34.898	12.777	42.465	25.466	23.863	59.697	3.853
K00100	0	0	0	0	0	0	0	1.452	0
K00101	8.254	0	0	0	0	0.27	0	0	0
K00104	4.802	2.855	26.811	1.027	3.172	7.329	9.557	4.678	0.786
K00105	0	0.261	0	0	0	0	0	0	0
K00108	5.583	0	0	0.436	0	0	0.279	0	0
K00111	4.751	0	2.02	0.683	2.657	6.524	2.885	2.837	0.415
K00112	0.59	0	0	0	0	0	0	0	0
K00113	1.157	0	0.238	0.31	0	0.192	0	0	0
K00116	2.91	0	0	0	0	0.343	0	0.336	0
K00117	3.698	0	0	0.241	0	0	0	0	0
K00121	5.277	0.263	0	0.111	0	0.097	0.102	0.098	0
K00123	1.411	0	0	0	0	0	0	0.27	0
K00124	7.717	0	0.252	0.602	0.299	0.744	0.933	0.613	0
K00125	0	0	0	0	0	0	0	0	0
K00127	2.58	0	0.194	0.337	0.282	0.364	0	0.33	0
K00128	0.413	1.508	0.517	0	0.61	0.862	0.793	0.562	0.307
K00130	0	0	1.038	0	0.172	0.17	0	0.15	0
K00131	0	4.149	1.363	0	0	0	0	0	0
K00132	0	0	0	0	0	0.464	0	0	0
K00133	8.943	18.316	23.284	5.874	32.094	23.964	17.364	38.906	5.005
K00134	26.557	48.272	28.478	6.306	17.756	18.861	29.743	31.805	28.796
K00135	0.82	0	0	0	0.086	0.059	3.704	0.045	0
K00137	0.698	0	0	0	0	0.036	0	0.065	0
K00138	4.828	0	0	0.644	0.515	0.52	0.391	0.533	0
K00140	0	0	0	0	0	0	0.302	0	0
K00145	9.074	13.791	49.268	53.896	62.117	55.534	23.182	73.192	8.497
K00146	2.589	0	0	0	0	0	0.134	0	0
K00147	11.514	20.769	15.323	8.022	47.947	30.41	22.895	26.751	2.137
K00150	0.294	0.168	0	0	0	1.212	0	0	0.676
K00156	0	0	0	0.405	3.714	0	0	0.256	0
K00158	0	8.133	0	0.306	0	0	0	0	0
K00161	0	3.029	3.89	0	1.033	0.49	0	0.444	1.99
K00162	0	0	1.452	0	0.81	0.697	0	0.328	1.105
K00163	2.707	0	0.061	0.125	0.052	0.1	0.158	0.086	0
K00164	2.429	0	0	0	0	0	0	0	0
K00169	0.593	7.589	1.701	0	1.906	3.981	0.458	0.817	0
K00170	0.596	7.241	1.662	0.254	0.775	6.83	0.439	1.077	1.304
K00171	0	3.892	1.106	0	1.886	5.154	1.874	1.131	0
K00172	1.204	0.762	2.732	0	1.476	3.819	0.732	1.075	1.521
K00174	3.768	1.161	11.804	6.951	43.91	27.379	8.033	47.521	0.568
K00175	15.197	8.028	18.978	6.282	35.913	32.086	17.024	42.618	11.474
K00176	0.24	1.837	2.329	7.786	41.857	25.748	8.402	40.07	1.111
K00177	0.704	0.958	0.512	0	7.52	14.551	5.552	0.669	1.991
K00179	0.631	6.857	8.947	5.399	34.059	17.708	3.529	19.099	0.315
K00180	0.788	11.87	6.856	0.742	0.247	24.998	0	1.348	1.02
K00183	0	0	0	0	0	0	0	0	0
K00184	0	0	0	0.329	0.193	0	0	0	0
K00185	0	0	0	0	0.211	0	0	0	0
K00194	0	0.641	7.274	0	0	0.708	0.565	0.379	0
K00196	0.542	0.241	0	0	0	16.013	0	0.674	0
K00198	0	0	0	0	0	0	0	0	0
K00200	0	0	0	0	0	1.43	1.442	0	0
K00201	0	0	0	0	0	0	0	0	0
K00202	0	0	0	0	0	0	0	0	0
K00203	0	0	0	0	0	0	0	0	0
K00204	0.302	0	0	0	0	1.632	1.446	0	0.689
K00208	4.635	0.198	0.065	0	0.14	0.753	2.071	0.36	0
K00209	0	5.815	1.507	0.449	0.658	1.165	0.745	0.336	0
K00210	0	0	0.455	5.794	29.13	3.993	1.021	28.733	0
K00215	4.616	14.222	10.844	1.179	6.84	17.685	10.427	4.841	3.582
K00216	4.481	0	0	0.12	0	0	0	0.143	0
K00219	0	0	0	0	0	0	0	0	0
K00226	0	4.208	2.953	0	84.451	4.067	1.218	9.185	0
K00228	2.821	0	0	0	0	0.308	0	0.461	0
K00230	5.517	0	0.237	0.308	0.241	0.89	0.637	0.979	0
K00239	36.343	7.078	14.641	3.721	84.414	64.257	13.619	15.813	39.196
K00240	21.863	6.379	4.103	7.686	38.721	10.474	2.453	38.911	28.325
K00241	2.358	0	1.775	6.848	108.413	10.614	2.209	35.763	0
K00242	1.382	0	0	0	0	0.62	0	0.337	0
K00243	1.247	4.894	8.397	0.905	1.359	5.179	8.272	1.308	0.452
K00244	2.727	1.99	1.127	0.715	1.088	1.595	1.141	3.368	0.806
K00245	7.031	0	0	0.772	0.603	0.998	0.435	1.635	0
K00246	4.97	0	0	0	0.637	0.504	0	0	0
K00247	5.379	0	0	0	1.037	0.938	0.589	0	0
K00248	0	0	4.837	0	2.286	2.391	1.42	0.746	0
K00254	2.352	0.211	0	0	0	1.679	0	0.309	1.901
K00259	0	0.665	0.959	0	3.769	3.29	0	0.6	0
K00260	0	0	0	0	0	0.47	5.88	0	0
K00261	0	0	0	0	0	0	0	0	0
K00262	7.687	22.884	70.833	111.706	142.379	71.571	22.707	139.863	5.532
K00263	0	0	0	0	0	0	0	0	0
K00265	5.055	5.17	10.594	1.944	0.724	4.257	11.046	4.033	1.676
K00266	23.19	52.997	54.542	11.147	13.915	29	37.805	23.192	20.697
K00275	3.652	0.302	0	1.164	6.231	0.698	0.387	0.83	0.408
K00276	1.005	0	0	0	0	0	0	0	0
K00278	1.988	2.179	6.188	1.795	2.076	14.918	11.473	1.229	0.476
K00281	1.655	0	0.429	0.721	12.369	5.03	0	0.935	1.664
K00282	0.755	0	0	0	0	0.887	0	0	0.655
K00283	0	0	0.212	0	0	0.572	0	0	0.496
K00285	2.679	0	0	0	0	0	0	0	0
K00286	4.283	5.443	15.912	8.504	39.798	21.52	15.931	21.883	2.2
K00287	0.565	5.517	2.67	8.456	39.127	6.543	6.13	30.653	0.306
K00290	1.751	3.639	6.479	1.101	0.459	2.119	4.722	2.711	0.777
K00294	0	0	0	0	0	0.163	0	0.11	0.408
K00297	7.264	9.022	14.221	11.931	63.995	38.609	10.679	42.239	0
K00299	3.523	0	0	0	0	0.296	0	0.321	0
K00302	0	0	0	0	0	0	0	0.17	0
K00303	0.44	5.217	0	0	0	0	0	0	0.888
K00313	4.924	0	0	0.187	0.046	0.056	0	0.552	0
K00319	0	0.427	0	0	0	1.421	1.693	0	0.391
K00320	0	0	0	0	0	0	0	0	0
K00322	4.369	0	0	0	0	0.123	0	0	0
K00324	1.563	1.445	1.946	0	0.357	1.918	7.733	1.755	0
K00325	1.819	0	0.257	0	0.083	0.455	0	0.206	0
K00330	7.364	0.803	22.384	66.767	129.217	35.198	5.237	65.918	2.81
K00331	1.527	1.243	25.485	58.622	52.97	31.269	4.107	71.952	3.432
K00332	0	0	0	0	0	0	0	0	0
K00333	0	0	0	0	2.863	1.309	0	0.423	1.122
K00334	1.951	0	0.177	0	0.723	0.113	0	0	0
K00335	5.945	1.357	6.645	0.627	0.073	3.392	1.053	0.774	1.323
K00336	0.453	1.572	10.304	0.77	0.789	2.201	6.25	2.244	2.066
K00337	2.674	0.376	17.662	66.275	58.369	49.377	3.897	49.057	1.073
K00338	7.739	1.313	15.726	60.583	8.405	3.924	0.519	19.25	0.333
K00339	0.771	0.202	20.111	59.886	40.735	16.222	6.333	57.715	1.391
K00340	6.601	0	0.656	0	3.001	2.521	0.792	1.089	0
K00341	0.739	2.487	4.036	6.003	89.589	18.245	3.072	36.384	0.575
K00342	3.054	2.493	2.017	5.652	31.961	9.907	1.695	31.92	1.209
K00343	6.567	0	3.022	4.674	97.769	14.604	2.964	21.587	0.691
K00344	0.721	0	0	0	0	0.399	0	0	0
K00346	0.16	0	4.843	8.098	100.847	24.913	3.813	40.153	0.535
K00347	0.416	0.277	14.606	46.285	40.217	9.354	3.156	43.411	0
K00348	0.254	0.354	3.212	0.675	37.087	17.059	1.289	6.613	0
K00349	1.842	5.213	1.517	5.314	31.967	4.243	1.85	24.864	3.688
K00350	2.763	0.745	27.11	48.973	103.733	60.212	7.692	62.974	3.008
K00351	5.289	1.309	1.751	6.24	30.447	9.096	0.855	23.417	0.666
K00354	0	0	0	0	0	0	0	0	0.421
K00355	0	0.78	0	0	0.352	0	0	0	0
K00362	0.692	0	0	0	0	0	0	0	0
K00363	0	0	0	0	0	0.966	0	0	0
K00364	0.319	9.485	0	0	0	0.571	0	0.336	0
K00366	0.27	0.814	0	0.939	0	1.991	10.189	0.545	0
K00370	3.085	0	0	0	0	0	0	0	0
K00371	3.763	0	0	0	0	0.139	0	0.06	0
K00372	0	0	0	0	0	0	0	0.699	0
K00373	7.833	0	0	0	0.148	0.458	0	0.409	0
K00374	10.315	0	0.179	0.993	0	0.497	1.079	0.13	0
K00375	1.4	9.41	7.153	1.687	0.574	5.314	6.67	1.521	0
K00376	0	0	0	0	0	0	0	0	0
K00380	1.856	0.21	0	0.067	0	0	0	0.047	0
K00381	4.551	0	0	0	0.424	1.122	0	0.589	0
K00382	0.495	1.91	8.131	0.522	13.784	16.192	8.163	8.591	1.65
K00383	2.269	5.147	1.412	0	0	0.362	0	0.25	0
K00384	8.307	20.026	37.293	6.831	39.879	28.879	27.316	36.891	2.889
K00385	0	0	0	0	0	0	2.317	0	0
K00389	3.38	0	0.461	0.803	0.623	1.24	0.934	0.449	0
K00390	3.837	0.665	2.519	0.391	0	35.106	1.533	6.753	0.83
K00394	0	5.409	10.066	1.048	1.81	2.566	2.614	2.122	0.312
K00395	0	0	8.23	1.34	1.491	4.394	1.11	0.531	0
K00399	0	0	0	0	0	0	0	0	1.433
K00400	0	0	0	0	0	0	0	0	0
K00401	0	0	0	0	0	0	0	0	0
K00402	0	0	0	0	0	0	0	0	1.666
K00404	0	0	0	0	0	0	0	0	1.601
K00405	0	0	0	0	0	0	0	0	0.916
K00406	0	0	0	0	0	0	0	0	0
K00407	0	0	0	0	0	0	0	0	0
K00411	0.211	0	0	0	0	0	0	0	0
K00412	0	0	0	0	0	0	0	0	0
K00413	0	0	0	0	0	0	0	0	0
K00425	6.243	0.456	0	0	0	0	0	4.866	0
K00426	3.084	2.752	0.75	5.414	34.097	4.08	2.228	27.463	0
K00427	3.463	0	0	0.357	0	0	0.427	0	0
K00428	4.478	0	0	0.308	0.196	0.188	0	0.138	0
K00432	0	1.605	0	0.364	0	0.627	0	0.186	0
K00440	0	0	0	0	0	0	0	0	0
K00441	0	0	0	0	0	1.209	1.102	0	0
K00442	0	0	0	0	0	0	0	0	0
K00443	0	0	0	0	0	0	0	0	0
K00448	0	0	0	0	0	0	0	0	0
K00451	0	0	0	0	0	0	0	0	0
K00453	0	0	0	0	0	0	0	0	0
K00455	0	0	0	0	0	0	0	0	0
K00457	0	0	0	0	0	0	0	0	0
K00459	0	0	0	0	0	0	0	0	0
K00481	0	0	0	0	0	0	0	0	0
K00483	0	0	0	0	0	0	0	0	0
K00520	0	0	0	0	0	0	0	0	0
K00525	1.972	1.195	16.591	50.23	38.361	16.578	6.078	38.746	2.033
K00526	3.388	0.744	4.569	0.092	0.985	0.209	0.531	1.864	1.572
K00527	0	0.526	0	0	0	0	0	0	0
K00528	1.139	4.067	2.028	0	0.572	3.209	7.613	3.808	0.656
K00529	1.294	0	0	0	0	0	0	0	0
K00533	0	0	0.433	0.864	0	0.279	0	0.505	0
K00534	0	0	0.283	1.013	0	0.418	0	0	0
K00537	4.699	7.451	12.251	0.584	1.603	1.939	3.257	3.127	0
K00547	1.192	2.005	1.808	0	1.029	1.983	9.806	0.434	0
K00548	1.695	7.01	6.261	1.506	2.165	14.84	4.733	6.751	0.359
K00549	4.564	6.644	4.303	0.396	1.516	3.203	4.909	1.802	0.403
K00554	8.082	18.041	42.246	47.343	108.387	53.609	31.807	55.542	5.403
K00555	0	0	0	0	0	1.609	0.504	0	0.315
K00556	0.487	0.267	0	0.185	1.009	0.564	0	1.062	0
K00557	0.4	0.268	0	0	0.272	0.242	0	1.167	0
K00558	9.274	15.64	21.133	17.371	3.63	13.575	10.924	29.526	8.029
K00560	10.624	11.084	38.586	56.382	56.11	50.98	11.997	60.439	7.554
K00561	92.894	46.011	12.547	270.766	14.476	6.032	30.034	57.842	70.609
K00563	4.068	1.766	1.393	1.201	0.341	0.791	0.86	0.536	1.496
K00564	2.918	3.375	0.355	0.11	0.066	0.047	0.524	0.236	0
K00566	8.878	39.963	55.413	77.55	131.441	44.147	18.844	97.295	6.826
K00567	0.917	6.176	6.726	0.803	32.185	15.817	15.232	3.068	2.505
K00568	5.106	0	0.275	0.309	0	1.047	0.768	0.401	0
K00571	2.48	8.563	36.829	5.299	0.436	7.95	12.633	4.242	4.643
K00573	4.863	0	0.065	0	0.402	3.234	0	0.24	0
K00574	2.411	0	1.823	0	0	0.409	0.1	0.301	0
K00575	2.807	2.057	0.509	0	0	9.239	0.192	1.007	0.659
K00577	0	0	0	0	0	0	0	0	0
K00578	0	0	0	0	0	0	0	0	0
K00579	0	0	0	0	0	0	0	0	0
K00580	0	0	0	0	0	0	0	0	0
K00581	0.384	0.194	0	0	0	2.53	0.425	0	0.983
K00582	0	0	0	0	0	0	0	0	1.171
K00583	0	0	0	0	0	0	0	0	0
K00584	0	0	0	0	0	0	0	0	0
K00595	0	1.057	7.711	0	0.496	2.985	1.267	4.291	0
K00598	3.102	0	0	0	0	0	0	0	0
K00600	12.95	36.086	39.079	47.663	56.074	37.044	27.768	73.188	15.032
K00602	12.142	30.629	68.991	60.084	49.779	57.249	22.362	69.593	8.426
K00603	0	0	3.242	0	1.434	6.432	3.127	6.067	0
K00604	10.365	17.68	27.838	47.424	61.043	22.799	26.085	35.169	3.112
K00605	6.075	1.017	27.011	52.299	122.176	49.148	6.038	58.227	3.812
K00606	4.05	8.494	53.799	44.078	54.39	35.619	7.153	68.967	1.773
K00609	5.668	23.463	38.776	42.61	58.029	40.503	20.139	61.507	3.773
K00610	8.742	5.765	17.36	47.668	46.79	10.567	3.402	43.398	1.61
K00611	3.12	13.025	5.907	0.776	6.405	6.791	10.888	3.043	2.441
K00612	0	0	0	0	0	0	0	0	0
K00613	0	0	0.561	0	0.259	0.285	1.313	0.711	0.43
K00615	14.821	31.815	24.028	24.364	95.561	63.678	22.416	74.332	8.858
K00616	12.394	13.149	38.655	59.269	47.894	20.685	17.944	55.221	1.664
K00619	0	0	0	0	0	0	0	0	0
K00620	4.087	13.055	8.421	0.641	1.711	17.693	9.269	2.529	4.252
K00625	6.36	11.073	20.018	5.614	36.166	11.825	8.101	30.135	9.71
K00626	15.662	3.619	19.441	1.093	3.044	10.49	14.51	4.522	9.262
K00627	0.349	0.915	0	0	4.013	2.581	0	0.715	1.708
K00631	0.544	0	0	0	0	0.089	0.103	0.061	0
K00632	8.033	0	0.406	0.122	2.437	0.853	0	0.81	0
K00633	1.197	0	2.233	0.358	0.343	0.628	0	0.743	0.655
K00634	0	0.214	0.41	0	0.683	3.09	0	0.543	0
K00639	7.684	0	0	1.191	2.039	4.015	1.392	1.137	0
K00640	7.232	14.235	13.279	3.125	1.426	4.495	7.386	1.678	0.354
K00641	0	0	0	0	0	0	0	0	0.42
K00645	3.109	12.844	3.545	0.092	6.006	13.808	8.27	2.407	0.49
K00647	0	0	0	0	16.554	18.431	3.231	15.749	0
K00648	2.858	9.235	21.636	55.36	58.019	38.015	10.473	59.387	1.054
K00651	9.729	14.683	37.869	54.74	55.371	45.925	26.064	64.258	2.091
K00652	8.173	19.952	16.352	41.47	38.362	9.013	5.196	32.885	5.634
K00655	4.734	15.224	23.728	5.205	31.702	24.422	10.687	26.759	1.829
K00656	4.816	9.757	15.769	6.324	29.738	21.969	7.735	22.052	1.817
K00657	1.673	0.926	0.565	6.797	29.969	3.107	0.321	19.011	0
K00658	1.187	0	9.704	3.492	28.862	2.688	1.85	20.006	0
K00661	5.54	10.727	20.328	7.032	36.673	23.226	2.733	25.541	2.111
K00662	0	0	0	0	0	0	0	0	0
K00663	0	0	0	0	0	0	0	0	0
K00666	0	0	0.838	0	0	0	0	0	0
K00672	0.255	0	0	0	0	0.684	1.463	0	0.573
K00673	3.124	0	0.098	0	0	0.049	0.142	0.091	0
K00674	1.776	6.388	6.908	4.957	66.383	15.252	5.367	7.177	0.34
K00675	1.542	0	0	0	0	0	0	0.199	0
K00677	6.552	0.826	2.483	4.8	32.275	11.067	6.617	32.481	1.999
K00681	1.238	0.344	0.502	0	0	0.559	4.85	0	0
K00684	4.304	0	0.873	5.93	33.614	5.07	1.008	17.666	1.595
K00687	0	0	0	0	0	0	0	0	0
K00688	7.087	7.536	15.411	1.283	1.427	34.311	6.369	6.243	3.076
K00689	0	0	0	0	0	0	0	0	0
K00690	0.743	5.857	10.773	0.591	1.382	4.875	6.028	6.465	1.049
K00691	0	0.452	0	0	0	0	0	0	0
K00692	0	0	0	0	0	0	0	0	0
K00694	3.388	1.692	0.043	0.161	0.074	0.05	0.128	0.05	0
K00697	2.41	0	0	0.123	0.104	0.319	0	0.264	0
K00700	3.215	20.773	40.623	41.384	9.195	22.223	23.023	26.73	2.351
K00702	3.453	13.943	4.841	1.385	0.338	11.612	6.312	1.864	5.232
K00703	5.699	9.551	3.98	0.108	0.115	12.604	6.781	1.875	4.654
K00705	5.028	11.229	17.111	7.988	93.112	45.439	16.382	33.467	1.342
K00721	8.539	39.724	2.548	12.451	29.426	3.217	12.985	25.852	10.413
K00737	0	0	0	0	0	0	0	0	0
K00748	0.82	0.221	0.833	8.02	32.945	4.708	2.466	23.278	0.439
K00756	0.302	5.239	1.026	1.111	0	0	6.167	0.798	0
K00757	5.94	7.143	8.868	0.169	1.697	12.285	4.488	1.705	1.512
K00758	1.163	0	0	0	0.359	0.72	0	0.514	0
K00759	1.925	25.112	37.074	66.522	44.999	11.766	9.872	56.102	1.767
K00760	5.333	6.168	19.955	48.29	9.748	14.483	9.117	25.294	2.156
K00761	5.435	32.84	41.119	11.156	42.114	26.373	17.212	43.911	3.739
K00762	11.662	12.368	45.351	62.657	48.572	43.665	16.697	75.963	5.163
K00763	5.226	42.923	16.049	1.94	0.612	11.909	11.008	6.598	3.424
K00764	10.101	8.938	13.502	6.184	88.904	54.72	10.091	34.063	6.468
K00765	5.672	5.865	32.066	59.965	143.157	62.521	24.774	59.994	1.504
K00766	3.223	14.493	31.119	45.463	40.768	14.41	15.838	47.342	2.83
K00767	25.059	51.534	39.951	67.863	44.427	31.933	41.1	55.217	7.666
K00768	0	0.288	12.708	8.229	44.653	15.41	2.664	35.151	0.6
K00769	0.802	0	0	0	0	0	0	0.366	0
K00772	0	0	0	0	0	0.503	2.849	0	0.577
K00773	8.628	17.574	23.511	2.132	3.785	20.793	15.245	6.084	5.064
K00782	2.705	0	1.943	5.814	45.983	6.684	1.896	16.989	0
K00783	3.947	35.348	34.851	70.812	72.684	47.97	18.919	68.482	1.312
K00784	7.069	15.394	42.143	50.455	50.068	16.064	16.305	36.984	1.785
K00785	0	0	0	0	0	0	0	0	0
K00786	0.222	2.668	0.222	0	0	0	0	0	0
K00788	8.288	9.614	40.738	55.35	88.174	32.365	20.019	76.723	0.938
K00789	8.936	32.008	41.973	54.618	128.498	65.162	36.772	68.672	8.187
K00790	3.981	21.753	28.071	50.47	46.249	25.228	8.547	71.575	4.027
K00791	7.012	12.775	38.236	56.992	95.916	41.469	26.319	76.764	5.306
K00793	2.653	12.06	19.923	2.649	5.385	7.558	16.329	16.249	0.536
K00794	7.008	13.979	43.584	70.654	100.86	49.854	16.62	59.225	2.075
K00795	0	0	0	0	0	0	0	0.308	0
K00796	0	7.52	1.473	6.398	32.029	6.254	8.831	24.761	0
K00797	3.884	11.59	19.643	2.244	0.677	3.295	22.944	9.374	1.591
K00798	0.205	1.414	1.526	7.086	37.381	9.112	2.63	18.191	0.35
K00799	10.506	0	0.263	0.67	0.592	0.44	0.433	1.5	0
K00800	5.905	13.899	31.068	56.724	46.518	29.429	22.366	45.054	4.781
K00801	0	0	0	0	0	0	0	0	0
K00803	0	0	0	0	0	0	0	0	0
K00805	1.539	8.261	12.526	0	0.877	15.658	1.483	2.619	0
K00806	1.441	11.236	5.194	2.408	8.777	14.244	8.63	3.562	0.272
K00809	0	0	0.244	0	0	0	0	0	0.536
K00812	1.149	0.419	1.354	3.05	37.192	7.325	2.766	13.29	1.605
K00813	1.248	0	0	0	0	0	0	0.222	0
K00817	2.206	10.842	18.856	50.885	50.866	22.852	23.691	41.515	3.607
K00819	0	0.335	0.819	2.933	32.847	2.687	1.181	16.29	0
K00820	5.457	13.819	38.095	8.173	76.321	52.361	29.139	47.408	10.721
K00821	8.988	9.666	8.855	6.599	37.778	20.26	11.363	29.416	2.24
K00823	1.137	0	0	0	0	0	0	0	0
K00824	0	3.221	0	0	0	0	0	0	0
K00826	33.205	86.853	19.949	23.193	36.918	21.59	46.424	30.559	11.946
K00831	7.667	14.749	18.255	6.631	47.852	20.691	15.841	45.09	5.386
K00832	1.77	0.591	0	0.932	0	0	7.878	0	0
K00833	2.319	1.529	13.484	4.981	13.134	5.127	5.704	20.249	1.911
K00835	0.423	0	0	0	0	0	0	0.076	0
K00836	1.364	0	0	0	0	0	0	0	0
K00840	3.138	0	0	0	0	0.693	0	0.056	0
K00841	0	1.732	0	0	0	0	0	0.807	0.434
K00844	0.463	0.898	0	0.567	0	0	5.038	0	0
K00845	16.034	11.575	20.507	5.339	17.509	22.498	5.158	38.556	13.757
K00847	7.778	23.112	3.995	0	1.392	4.809	4.929	2.282	2.548
K00848	4.215	4.31	19.054	60.156	10.389	13.395	3.141	21.424	0.844
K00849	3.416	14.698	9.17	0.364	35.934	29.479	1.09	21.897	1.454
K00850	16.816	21.849	59.412	102.897	127.46	64.066	18.801	139.385	11.081
K00851	0	1.309	0	0	1.153	0.446	0.573	0.779	0
K00852	1.278	0.488	2.992	0	34.531	11.792	2.668	11.863	0.251
K00853	1.931	0.288	0.553	0	1.239	3.372	0.152	1.663	0
K00854	2.686	7.417	10.007	6.367	39.221	24.751	5.247	33.437	1.766
K00855	4.691	0	0	0	0	0.432	0	0.528	0
K00857	6.803	3.987	29.83	39.115	111.748	24.14	15.459	75.31	3.839
K00858	5.559	20.331	18.947	2.746	7.211	17.169	12.829	9.527	1.578
K00859	3.662	17.877	17.805	9.415	38.235	21.711	21.247	32.266	0
K00860	8.041	1.198	15.02	61.402	39.545	9.138	3.912	44.379	0.459
K00863	0	0	0	0	0	0	0.415	0	0
K00864	10.909	9.663	19.943	0.682	12.598	25.215	5.06	9.648	6.286
K00865	6.081	1.75	4.728	1.3	4.154	0.594	1.168	5.562	0.863
K00867	5.748	3.994	0.752	0.997	0	0.348	1.243	0.315	0
K00868	8.862	18.976	21.64	2.391	30.499	23.994	21.159	14.534	4.73
K00869	0	0	0	0	0	0	0	0	0
K00872	5.908	8.235	2.135	1.932	0.288	0.674	14.707	0.884	0.723
K00873	2.21	16.746	15.262	52.313	47.358	22.839	7.821	47.632	2.728
K00874	19.576	9.862	12.63	7.672	37.323	15.535	6.431	19.137	13.589
K00875	0	0	0	0	0	0	0	0	0
K00876	8.165	26.216	42.972	58.105	70.912	39.622	20.382	88.261	6.768
K00878	7.544	8.795	17.91	2.569	2.022	21.241	17.851	4.793	4.244
K00879	1.926	0	0	0.094	0	0.122	0	0.293	0
K00880	0	0	0	0	0.472	0	0	0	0
K00881	2.309	0	0.162	0	0	0.621	0	0.296	0
K00882	5.113	8.459	10.275	1.127	0.914	15.19	4.53	2.628	0.709
K00883	0	0	0	0	0	0	0	0	0
K00884	7.02	0	0	0	0	0	0.313	0.64	0
K00885	7.219	0	0	0	0	0.421	0.352	0.984	0
K00887	0	0	0	0	0	0	0	0	0
K00891	13.247	8.881	34.457	61.835	67.83	42.958	17.009	46.159	2.395
K00892	0.55	0	0	0	0	0.266	0	0	0
